time_sn,ctrlong,ctrlatr,ax_m_s2,ay_m_s2,az_m_s2,p_rad_s,q_rad_s,r_rad_s,quat_e0,quat_ex,quat_ey,quat_ez,alpha_rad,beta_rad,tas_m_s,de_rad,dr_rad,da_rad,mass_kg,thrust_N_1,lat_rad,lon_rad,alt_m
1.46,1,1,-0.049337686,0.000325769,-9.446605124,0.000537396,-0.009786053,-0.004299728,0.999952601,-0.005876722,-0.007382695,-0.002404121,0.039023908,0.000537541,26.83831103,0,0,0,10.49995217,5.543662744,0.785404312,-2.129301699,998.624384
1.48,1,1,-0.048826503,0.000301809,-9.455311607,0.000561003,-0.009530542,-0.004377494,0.999951811,-0.005871131,-0.007479544,-0.002446898,0.0390889,0.000539321,26.84051962,0,0,0,10.49995151,5.542413843,0.785404396,-2.129301699,998.5954444
1.5,1,1,-0.048334357,0.000247841,-9.463910456,0.000571861,-0.009266265,-0.004452769,0.999951028,-0.005865357,-0.007573798,-0.002490455,0.039152532,0.000542713,26.84276943,0,0,0,10.49995085,5.541129834,0.78540448,-2.1293017,998.5663653
1.52,1,1,-0.047858036,0.000165715,-9.472426407,0.000571759,-0.0089951,-0.004524329,0.999950253,-0.005859518,-0.007665378,-0.002534763,0.039215036,0.000547628,26.8450591,0,0,0,10.49995019,5.539815121,0.785404565,-2.1293017,998.5371501
1.54,1,1,-0.04739504,5.77E-05,-9.480877503,0.000562485,-0.008719134,-0.004591111,0.999949487,-0.005853715,-0.007754224,-0.00257978,0.039276587,0.000553952,26.84738732,0,0,0,10.49994953,5.538473796,0.785404649,-2.129301701,998.5078022
1.56,1,1,-0.046943555,-7.38E-05,-9.489275446,0.000545796,-0.008440515,-0.004652213,0.99994873,-0.005848031,-0.0078403,-0.002625454,0.039337305,0.000561555,26.84975279,0,0,0,10.49994887,5.537109666,0.785404733,-2.129301701,998.4783249
1.58,1,1,-0.046502395,-0.000225955,-9.497626209,0.000523397,-0.008161329,-0.004706896,0.999947983,-0.005842532,-0.007923588,-0.002671726,0.039397263,0.000570291,26.8521542,0,0,0,10.49994821,5.535726273,0.785404817,-2.129301701,998.4487216
1.6,1,1,-0.046070929,-0.000395809,-9.505930839,0.000496916,-0.007883501,-0.004754587,0.999947246,-0.005837268,-0.008004091,-0.002718527,0.039456491,0.000580006,26.85459027,0,0,0,10.49994755,5.53432691,0.785404901,-2.129301702,998.4189956
1.62,1,1,-0.04564898,-0.000580351,-9.514186359,0.000467884,-0.007608725,-0.004794871,0.999946521,-0.005832271,-0.008081833,-0.002765788,0.039514981,0.000590536,26.85705975,0,0,0,10.49994689,5.53291464,0.785404986,-2.129301703,998.3891502
1.64,1,1,-0.045236738,-0.000776499,-9.522386718,0.00043772,-0.007338413,-0.004827489,0.999945806,-0.00582756,-0.00815685,-0.002813431,0.039572701,0.000601715,26.85956137,0,0,0,10.49994623,5.531492303,0.78540507,-2.129301703,998.3591888
1.66,1,1,-0.044834655,-0.00098118,-9.530523738,0.000407721,-0.007073674,-0.00485233,0.999945103,-0.005823142,-0.008229191,-0.002861379,0.039629597,0.000613377,26.8620939,0,0,0,10.49994557,5.530062538,0.785405154,-2.129301704,998.3291145
1.68,1,1,-0.04444335,-0.001191382,-9.538587985,0.000379045,-0.006815302,-0.004869417,0.999944412,-0.005819008,-0.008298918,-0.002909555,0.039685602,0.000625358,26.86465614,0,0,0,10.49994491,5.528627782,0.785405238,-2.129301704,998.2989308
1.7,1,1,-0.04406353,-0.001404202,-9.54656956,0.000352708,-0.006563799,-0.004878903,0.999943733,-0.005815142,-0.008366094,-0.002957881,0.039740645,0.000637499,26.86724688,0,0,0,10.49994425,5.527190292,0.785405323,-2.129301705,998.2686406
1.72,1,1,-0.043695912,-0.001616885,-9.554458769,0.000329581,-0.006319391,-0.004881052,0.999943066,-0.005811516,-0.008430791,-0.003006281,0.039794654,0.000649647,26.86986495,0,0,0,10.49994359,5.525752147,0.785405407,-2.129301705,998.2382473
1.74,1,1,-0.043341161,-0.001826858,-9.562246658,0.000310384,-0.006082066,-0.00487623,0.999942412,-0.005808095,-0.008493079,-0.003054683,0.039847561,0.00066166,26.8725092,0,0,0,10.49994292,5.52431526,0.785405491,-2.129301706,998.207754
1.76,1,1,-0.042999848,-0.002031764,-9.569925416,0.000295691,-0.005851619,-0.004864887,0.999941771,-0.005804837,-0.008553027,-0.003103018,0.03989931,0.000673407,26.87517849,0,0,0,10.49994226,5.522881389,0.785405575,-2.129301706,998.1771639
1.78,1,1,-0.042672416,-0.00222948,-9.577488648,0.000285931,-0.005627691,-0.00484755,0.999941144,-0.005801696,-0.008610703,-0.003151225,0.039949852,0.000684769,26.87787173,0,0,0,10.4999416,5.521452142,0.78540566,-2.129301707,998.1464798
1.8,1,1,-0.042359157,-0.002418141,-9.584931523,0.000281393,-0.005409814,-0.004824799,0.99994053,-0.005798621,-0.00866617,-0.003199243,0.039999153,0.00069564,26.88058781,0,0,0,10.49994094,5.520028993,0.785405744,-2.129301708,998.115705
1.82,1,1,-0.042060211,-0.002596146,-9.592250808,0.000282234,-0.005197454,-0.004797261,0.99993993,-0.005795561,-0.008719484,-0.003247023,0.04004719,0.000705931,26.88332569,0,0,0,10.49994028,5.518613282,0.785405828,-2.129301708,998.0848422
1.84,1,1,-0.04177556,-0.002762167,-9.599444822,0.000288487,-0.00499005,-0.004765594,0.999939345,-0.00579246,-0.008770698,-0.003294517,0.040093955,0.000715565,26.88608433,0,0,0,10.49993962,5.517206231,0.785405912,-2.129301709,998.0538946
1.86,1,1,-0.041505047,-0.002915154,-9.606513309,0.000300074,-0.004787044,-0.004730469,0.999938774,-0.005789266,-0.008819859,-0.003341688,0.04013945,0.00072448,26.88886271,0,0,0,10.49993896,5.51580895,0.785405997,-2.129301709,998.0228649
1.88,1,1,-0.041248388,-0.003054326,-9.61345726,0.000316811,-0.004587908,-0.004692565,0.999938219,-0.005785927,-0.008867009,-0.003388504,0.040183689,0.000732631,26.89165984,0,0,0,10.4999383,5.514422445,0.785406081,-2.12930171,997.9917559
1.9,1,1,-0.041005194,-0.003179168,-9.620278703,0.000338426,-0.004392167,-0.004652554,0.99993768,-0.005782393,-0.008912183,-0.003434939,0.040226695,0.000739986,26.89447475,0,0,0,10.49993764,5.513047626,0.785406165,-2.129301711,997.9605705
1.92,1,1,-0.040774995,-0.003289417,-9.626980472,0.000364569,-0.004199411,-0.004611087,0.999937156,-0.005778617,-0.008955414,-0.003480976,0.040268497,0.000746527,26.89730649,0,0,0,10.49993697,5.511685316,0.78540625,-2.129301711,997.9293113
1.94,1,1,-0.040557264,-0.003385052,-9.633565978,0.000394823,-0.004009303,-0.004568793,0.999936649,-0.005774555,-0.008996729,-0.003526602,0.040309129,0.00075225,26.90015413,0,0,0,10.49993631,5.510336258,0.785406334,-2.129301712,997.8979811
1.96,1,1,-0.040351441,-0.00346627,-9.640038982,0.000428718,-0.003821583,-0.004526262,0.999936158,-0.005770169,-0.009036155,-0.003571811,0.040348629,0.000757162,26.90301675,0,0,0,10.49993565,5.50900112,0.785406418,-2.129301713,997.8665824
1.98,1,1,-0.040156953,-0.003533471,-9.646403401,0.000465747,-0.003636066,-0.004484043,0.999935684,-0.005765426,-0.009073713,-0.003616604,0.040387037,0.000761283,26.90589348,0,0,0,10.49993499,5.507680502,0.785406503,-2.129301714,997.8351178
2,1,1,-0.039973235,-0.003587236,-9.652663124,0.000505371,-0.003452638,-0.004442637,0.999935228,-0.005760295,-0.009109426,-0.003660985,0.040424391,0.000764642,26.90878344,0,0,0,10.49993433,5.506374945,0.785406587,-2.129301714,997.80359
2.02,1,1,-0.039799744,-0.003628301,-9.658821877,0.000547038,-0.003271247,-0.004402493,0.999934788,-0.005754755,-0.009143314,-0.003704965,0.04046073,0.000767278,26.91168576,0,0,0,10.49993367,5.505084932,0.785406671,-2.129301715,997.7720013
2.04,1,1,-0.039635973,-0.003657539,-9.664883104,0.00059019,-0.003091893,-0.004364004,0.999934366,-0.005748788,-0.009175398,-0.003748558,0.04049609,0.000769236,26.9145996,0,0,0,10.499933,5.503810895,0.785406756,-2.129301716,997.7403542
